Qdate,frontpage,id
1946-06-30,0.5032679738562091,1071
1946-09-30,0.5213358070500927,2156
1946-12-31,0.4407774110744408,2727
1947-03-31,0.3437826541274817,2871
1947-06-30,0.36054913294797686,2768
1947-09-30,0.40186219739292367,2685
1947-12-31,0.39608003266639447,2449
1948-03-31,0.4104109589041096,1825
1948-06-30,0.4103796251802018,2081
1948-09-30,0.4330049261083744,2030
1948-12-31,0.3484848484848485,2310
1949-03-31,0.24019344438473939,3722
1949-06-30,0.277190332326284,5296
1949-09-30,0.2393389104264436,4901
1949-12-31,0.22435643564356436,5050
1950-03-31,0.22006675010429705,4794
1950-06-30,0.18376302797586397,5469
1950-09-30,0.1849403122130395,5445
1950-12-31,0.20284296028880866,4432
1951-03-31,0.25261965448881335,3531
1951-06-30,0.24618126272912425,3928
1951-09-30,0.29063320688648964,3427
1951-12-31,0.2737134909596662,3595
1952-03-31,0.26297169811320753,3392
1952-06-30,0.2819691232158462,3433
1952-09-30,0.3076499724821134,3634
1952-12-31,0.29429839535677704,2929
1953-03-31,0.2839095744680851,3008
1953-06-30,0.2997878144892392,3299
1953-09-30,0.2888356779407363,3341
1953-12-31,0.2696451204055767,3156
1954-03-31,0.27462303496952195,3117
1954-06-30,0.2922387223311852,3569
1954-09-30,0.2954920285871358,3638
1954-12-31,0.2982791586998088,3661
1955-03-31,0.3058977719528178,3815
1955-06-30,0.2965432098765432,4050
1955-09-30,0.3019973368841545,3755
1955-12-31,0.2786516853932584,4005
1956-03-31,0.27020958083832336,4008
1956-06-30,0.24812542603953647,4401
1956-09-30,0.1263687853996224,7945
1956-12-31,0.12637873754152823,7525
1957-03-31,0.12772941344369915,7007
1957-06-30,0.14341428824676475,5641
1957-09-30,0.11459819305753685,6309
1957-12-31,0.0997251069028711,6548
1958-03-31,0.09437132455894708,7142
1958-06-30,0.09431000654022237,7645
1958-09-30,0.09982001938252803,7223
1958-12-31,0.09693959301394008,6241
1959-03-31,0.09473874525402277,5531
1959-06-30,0.08588766142834915,6427
1959-09-30,0.08850440858426219,6011
1959-12-31,0.09252546176419817,5793
1960-03-31,0.09526391901663052,5532
1960-06-30,0.08664495114006515,6140
1960-09-30,0.09554683501109026,5861
1960-12-31,0.08760890609874153,6198
1961-03-31,0.10562390158172232,5690
1961-06-30,0.10935893040795337,5834
1961-09-30,0.1105693888211736,5743
1961-12-31,0.1294599337102749,5129
1962-03-31,0.1498111624003357,4766
1962-06-30,0.17263066579917588,4611
1962-09-30,0.19798264133239502,4263
1962-12-31,0.18168389955686853,4062
1963-03-31,0.1611125031320471,3991
1963-06-30,0.14885043849253377,4219
1963-09-30,0.14765840220385676,3630
1963-12-31,0.15978098556495768,4018
1964-03-31,0.14738292011019283,3630
1964-06-30,0.14180765805877116,4492
1964-09-30,0.1377397735151375,4327
1964-12-31,0.14373436433932227,4397
1965-03-31,0.14603012509573654,3917
1965-06-30,0.1471435429668747,4166
1965-09-30,0.15428983417447728,4161
1965-12-31,0.12800769971126083,4156
1966-03-31,0.12645969809171176,3511
1966-06-30,0.13012422360248446,3220
1966-09-30,0.1297709923664122,2882
1966-12-31,0.13059563448020717,2703
1967-03-31,0.13126783530370975,2453
1967-06-30,0.13221683561040107,2269
1967-09-30,0.1328289197141656,2379
1967-12-31,0.12146277753591642,2297
1968-03-31,0.11219286045433473,2157
1968-06-30,0.1286004056795132,2465
1968-09-30,0.12417727073277754,2279
1968-12-31,0.13330581923235657,2423
1969-03-31,0.13203214695752008,2613
1969-06-30,0.12678421494542402,2382
1969-09-30,0.14766734279918864,2465
1969-12-31,0.14647887323943662,2840
1970-03-31,0.15059160989602008,2789
1970-06-30,0.1451934583167132,2507
1970-09-30,0.1444568868980963,2679
1970-12-31,0.14655784244144784,2818
1971-03-31,0.1475684740078256,1789
1971-06-30,0.14269992663242848,2726
1971-09-30,0.1554421768707483,2940
1971-12-31,0.14586607984910405,3181
1972-03-31,0.14669223394055608,3129
1972-06-30,0.1382753403933434,3305
1972-09-30,0.12912912912912913,3996
1972-12-31,0.1350293542074364,4088
1973-03-31,0.13427279978729062,3761
1973-06-30,0.1250971250971251,3861
1973-09-30,0.1260989010989011,3640
1973-12-31,0.12761394101876675,3730
1974-03-31,0.1432258064516129,3100
1974-06-30,0.15025094102885822,3188
1974-09-30,0.140203714799281,3338
1974-12-31,0.13050030138637733,3318
1975-03-31,0.14469256653410828,3269
1975-06-30,0.1367244927962364,3401
1975-09-30,0.12936532037655632,3293
1975-12-31,0.11600338696020322,3543
1976-03-31,0.11580254579323192,3221
1976-06-30,0.12265978050355068,3098
1976-09-30,0.1037282020444979,3326
1976-12-31,0.11357340720221606,2888
1977-03-31,0.14356435643564355,3030
1977-06-30,0.11758893280632411,3036
1977-09-30,0.13078666235027517,3089
1977-12-31,0.12411153635866594,3658
1978-03-31,0.14433962264150943,3180
1978-06-30,0.12321002386634845,3352
1978-09-30,0.1424674143679903,3299
1978-12-31,0.14454196379594075,3646
1979-03-31,0.14797385620915032,3825
1979-06-30,0.13688485427615862,4186
1979-09-30,0.1423611111111111,4320
1979-12-31,0.13822652757078988,5368
1980-03-31,0.13935522210667062,6731
1980-06-30,0.13306330633063307,6666
1980-09-30,0.14688156972669936,7135
1980-12-31,0.14869167935760763,7223
1981-03-31,0.15435259692757863,6835
1981-06-30,0.14574666475398076,6971
1981-09-30,0.13391537944929482,7445
1981-12-31,0.12943215142628633,7502
1982-03-31,0.12195777867419659,7437
1982-06-30,0.11842811158798283,7456
1982-09-30,0.11062876347850441,7141
1982-12-31,0.1235632183908046,6960
1983-03-31,0.1560428352881183,7844
1983-06-30,0.12093204894558708,7682
1983-09-30,0.12021531100478469,8360
1983-12-31,0.11391610148203969,7962
1984-03-31,0.12471225457007447,7385
1984-06-30,0.11184869739478957,7984
1984-09-30,0.12739475289810862,8195
1984-12-31,0.13131763918330916,8963
1985-03-31,0.12929087624209576,8856
1985-06-30,0.11639492753623189,8832
1985-09-30,0.11762008483319959,8723
1985-12-31,0.12547484747323587,8687
1986-03-31,0.12332439678284182,8206
1986-06-30,0.11588851834206765,8396
1986-09-30,0.13358151757363407,9133
1986-12-31,0.13721719457013576,8840
1987-03-31,0.11418965916995132,8626
1987-06-30,0.11448210476416212,8438
1987-09-30,0.11668432827034028,8493
1987-12-31,0.11744882675986021,8012
1988-03-31,0.116214010956988,8579
1988-06-30,0.11814946619217082,8430
1988-09-30,0.11666853995728897,8897
1988-12-31,0.10865284373914051,8633
1989-03-31,0.1294509944027629,8397
1989-06-30,0.14434163701067615,7025
1989-09-30,0.11798542758532532,7823
1989-12-31,0.12134052388289676,7788
1990-03-31,0.12485230405671524,7617
1990-06-30,0.13164777680906714,8029
1990-09-30,0.1379271070615034,8780
1990-12-31,0.1402446265289158,8421
1991-03-31,0.15648999118720885,7943
1991-06-30,0.14876243939780556,7838
1991-09-30,0.1528332941453092,8506
1991-12-31,0.16631010021393988,8881
1992-03-31,0.15932658289618154,8197
1992-06-30,0.1523156474820144,8896
1992-09-30,0.1582311642041287,9543
1992-12-31,0.15856329391151994,9132
1993-03-31,0.1410560344827586,9280
1993-06-30,0.1283797729618163,9690
1993-09-30,0.12417321851990515,8013
1993-12-31,0.10541969596827495,9078
1994-03-31,0.10654562828475872,8372
1994-06-30,0.10454952935903182,8924
1994-09-30,0.10409172661870504,8896
1994-12-31,0.11266356176535818,9018
1995-03-31,0.08611430763329497,10428
1995-06-30,0.09699675324675325,9856
1995-09-30,0.0920479881091411,9419
1995-12-31,0.09156729131175469,9392
1996-03-31,0.09401986183074267,9264
1996-06-30,0.0855614973262032,10098
1996-09-30,0.09069286452947259,9670
1996-12-31,0.08596048759983187,9516
1997-03-31,0.07963963963963964,8325
1997-06-30,0.08158860349665444,9266
1997-09-30,0.08302300109529025,9130
1997-12-31,0.08554101500159592,9399
1998-03-31,0.10131724732241783,8123
1998-06-30,0.0939538929969552,9196
1998-09-30,0.08532423208191127,9376
1998-12-31,0.0907842014882656,8735
1999-03-31,0.09338301716350497,8856
1999-06-30,0.08423187786911498,9367
1999-09-30,0.08771334915790663,8847
1999-12-31,0.08932651506908933,9191
2000-03-31,0.09364548494983277,8970
2000-06-30,0.08908637693724937,9227
2000-09-30,0.09747447608812466,9305
2000-12-31,0.09876824817518248,8768
2001-03-31,0.08620496127511505,8909
2001-06-30,0.10107831390916022,9181
2001-09-30,0.08936301793444651,9702
2001-12-31,0.11002680965147453,9325
2002-03-31,0.10771793448084398,9005
2002-06-30,0.1041690077536802,8899
2002-09-30,0.10235393022278268,9516
2002-12-31,0.09884584618900696,8751
2003-03-31,0.07528976331937275,10267
2003-06-30,0.07116945931939886,11578
2003-09-30,0.0681333674426537,11727
2003-12-31,0.08133037694013304,11275
2004-03-31,0.1001926782273603,8823
2004-06-30,0.09829769566119992,9634
2004-09-30,0.08927349173755744,10227
2004-12-31,0.09485530546623794,9952
2005-03-31,0.10040705563093623,8844
2005-06-30,0.09887616165982278,9254
2005-09-30,0.09335541295797971,9662
2005-12-31,0.0944177201029198,8939
2006-03-31,0.1018636416251881,8639
2006-06-30,0.09758736341014822,9243
2006-09-30,0.09282436378806842,9588
2006-12-31,0.09861271676300579,8650
2007-03-31,0.09387507580351728,8245
2007-06-30,0.09594535993061579,9224
2007-09-30,0.09095884413309982,9136
2007-12-31,0.10008757662955085,7993
2008-03-31,0.09010458567980692,7458
2008-06-30,0.0866519652354391,7709
2008-09-30,0.07661197134273169,8654
2008-12-31,0.08326693227091633,7530
2009-03-31,0.09449949734309925,6963
2009-06-30,0.08570705152550956,7899
2009-09-30,0.07575078440161363,8924
2009-12-31,0.07176131322094055,9016
2010-03-31,0.06569931479242241,9924
2010-06-30,0.05845225027442371,10932
2010-09-30,0.06268599404819046,10417
2010-12-31,0.06463248196529538,10258
2011-03-31,0.06817711566314918,9666
2011-06-30,0.06484075111526091,9639
2011-09-30,0.06725002457968735,10171
2011-12-31,0.06903312351666495,9691
2012-03-31,0.06780560271646859,9424
2012-06-30,0.06944593291179937,9331
2012-09-30,0.07246871444823663,8790
2012-12-31,0.08174837566450088,8465
2013-03-31,0.07107094883380144,8189
2013-06-30,0.06806333268970843,10358
2013-09-30,0.07427624524807486,10259
2013-12-31,0.0690263649574424,9634
2014-03-31,0.06588186699710863,9684
2014-06-30,0.06937844516251664,10522
2014-09-30,0.06069281419982823,10479
2014-12-31,0.06537733865881859,9514
2015-03-31,0.06637696903856599,9205
2015-06-30,0.06914893617021277,9964
2015-09-30,0.0681395829031592,9686
2015-12-31,0.06679553264604811,9312
2016-03-31,0.0668892470642413,8686
2016-06-30,0.0663243922883487,9544
2016-09-30,0.06638232720909887,9144
2016-12-31,0.06607082249123204,8839
2017-03-31,0.06608187134502924,8550
2017-06-30,0.0673520772135963,9532
2017-09-30,0.07340090877315623,8583
2017-12-31,0.0744336569579288,8034
2018-03-31,0.06601830663615561,8740
2018-06-30,0.06386112572330352,9505
2018-09-30,0.061602543023128356,9123
2018-12-31,0.07383419689119171,7720
2019-03-31,0.09176717357105402,5721
